network_id,type,subtype,id_pair,species_1,label_1,degree_1,species_2,label_2,degree_2,number_sp_label_1,number_sp_label_2,connected,normalized_degree_sp_1,normalized_degree_sp_2,network_connectance,sum_1,sum_2,sum_shared
A_HP_047,A,HostParasite,2746,"Allactaga sibirica",Host,3,"Neopsylla mana",Parasite,8,11,26,0,0.1154,0.7273,0.35,105,109,0
A_HP_024,A,HostParasite,2741,"Allactaga sibirica",Host,1,"Ophthalmopsylla praefecta",Parasite,1,7,20,1,0.05,0.1429,0.279,2,2,2
A_HP_025,A,HostParasite,2741,"Allactaga sibirica",Host,7,"Ophthalmopsylla praefecta",Parasite,1,18,40,1,0.175,0.0556,0.149,85,37,37
A_HP_047,A,HostParasite,2741,"Allactaga sibirica",Host,3,"Ophthalmopsylla praefecta",Parasite,1,11,26,1,0.1154,0.0909,0.35,105,21,21
A_HP_010,A,HostParasite,2699,"Allactaga sibirica",Host,5,"Ophthalmopsylla volgensis",Parasite,7,18,31,1,0.1613,0.3889,0.158,57,77,11
A_HP_032,A,HostParasite,2699,"Allactaga sibirica",Host,1,"Ophthalmopsylla volgensis",Parasite,1,14,13,1,0.0769,0.0714,0.176,2,2,2
A_HP_025,A,HostParasite,2747,"Allactaga sibirica",Host,7,"Pectinoctenus pavlovskii",Parasite,3,18,40,1,0.175,0.1667,0.149,85,21,2
A_HP_024,A,HostParasite,2747,"Allactaga sibirica",Host,1,"Pectinoctenus pavlovskii",Parasite,1,7,20,0,0.05,0.1429,0.279,2,4,0
A_HP_032,A,HostParasite,2747,"Allactaga sibirica",Host,1,"Pectinoctenus pavlovskii",Parasite,2,14,13,0,0.0769,0.1429,0.176,2,50,0
A_HP_047,A,HostParasite,2747,"Allactaga sibirica",Host,3,"Pectinoctenus pavlovskii",Parasite,6,11,26,0,0.1154,0.5455,0.35,105,117,0
A_HP_013,A,HostParasite,2712,"Allocricetulus eversmanni",Host,4,"Amphipsylla kalabukhovi",Parasite,1,11,22,1,0.1818,0.0909,0.426,6,3,3
A_HP_022,A,HostParasite,2712,"Allocricetulus eversmanni",Host,6,"Amphipsylla kalabukhovi",Parasite,1,16,18,1,0.3333,0.0625,0.236,58,2,2
